# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:phiphi                 4:TPhi               
  320       5.142607266842e-10       2.841448825616e-13       6.885879090017e-14 
  321       5.095978487521e-10       2.812610109788e-13       6.790957678904e-14 
  322       5.049438985561e-10       2.784136035914e-13       6.697243029449e-14 
  323       5.003000139435e-10       2.756024884447e-13       6.604728413805e-14 
  324       4.956673386691e-10       2.728274652195e-13       6.513406169500e-14 
  325       4.910470223545e-10       2.700883049339e-13       6.423267689744e-14 
  326       4.864402204472e-10       2.673847496455e-13       6.334303413731e-14 
  327       4.818480941794e-10       2.647165121530e-13       6.246502816941e-14 
  328       4.772718105280e-10       2.620832756983e-13       6.159854401445e-14 
  329       4.727125421728e-10       2.594846936684e-13       6.074345686204e-14 
  330       4.681714674565e-10       2.569203892971e-13       5.989963197378e-14 
  331       4.636497703431e-10       2.543899553672e-13       5.906692458622e-14 
  332       4.591486403778e-10       2.518929539121e-13       5.824517981396e-14 
  333       4.546692726455e-10       2.494289159180e-13       5.743423255262e-14 
  334       4.502128677305e-10       2.469973410256e-13       5.663390738192e-14 
  335       4.457806316754e-10       2.445976972322e-13       5.584401846865e-14 
  336       4.413737759403e-10       2.422294205934e-13       5.506436946978e-14 
  337       4.369935173619e-10       2.398919149249e-13       5.429475343541e-14 
  338       4.326410781127e-10       2.375845515051e-13       5.353495271184e-14 
  339       4.283176856604e-10       2.353066687761e-13       5.278473884461e-14 
  340       4.240245727267e-10       2.330575720461e-13       5.204387248150e-14 
  341       4.197629772467e-10       2.308365331913e-13       5.131210327558e-14 
  342       4.155341423279e-10       2.286427903576e-13       5.058916978823e-14 
  343       4.113393162096e-10       2.264755476629e-13       4.987479939218e-14 
  344       4.071797522217e-10       2.243339748985e-13       4.916870817453e-14 
  345       4.030567087443e-10       2.222172072313e-13       4.847060083978e-14 
  346       3.989714491666e-10       2.201243449058e-13       4.778017061286e-14 
  347       3.949252418461e-10       2.180544529457e-13       4.709709914218e-14 
  348       3.909193600677e-10       2.160065608560e-13       4.642105640263e-14 
  349       3.869549803991e-10       2.139798410694e-13       4.575176429246e-14 
  350       3.830328731798e-10       2.119741530766e-13       4.508919053796e-14 
  351       3.791536990957e-10       2.099895213135e-13       4.443336265316e-14 
  352       3.753181094832e-10       2.080259583348e-13       4.378430493848e-14 
  353       3.715267461878e-10       2.060834646913e-13       4.314203844637e-14 
  354       3.677802414242e-10       2.041620288071e-13       4.250658094686e-14 
  355       3.640792176353e-10       2.022616268574e-13       4.187794689320e-14 
  356       3.604242873517e-10       2.003822226460e-13       4.125614738744e-14 
  357       3.568160530508e-10       1.985237674828e-13       4.064119014605e-14 
  358       3.532551070163e-10       1.966862000609e-13       4.003307946552e-14 
  359       3.497420311976e-10       1.948694463350e-13       3.943181618793e-14 
  360       3.462773970692e-10       1.930734193978e-13       3.883739766661e-14 
  361       3.428617654898e-10       1.912980193585e-13       3.824981773169e-14 
  362       3.394956865620e-10       1.895431332196e-13       3.766906665575e-14 
  363       3.361796994911e-10       1.878086347548e-13       3.709513111937e-14 
